taskType,dependencyCount,retryCount,workflowSize,previousDuration,actualDuration
FILE,5,0,8,17.56,26.33
DATABASE,0,2,17,12.43,26.73
COMPUTE,2,0,11,25.8,39.52
REST,5,3,19,5.45,26.55
REST,3,3,10,29.61,46.38
REST,5,0,4,7.4,18.56
COMPUTE,5,2,20,16.32,40.72
REST,0,0,13,28.73,33.74
FILE,3,0,12,20.49,29.46
EMAIL,3,3,17,29.27,43.16
REST,0,3,14,12.65,23.41
DATABASE,3,0,12,20.36,32.22
DATABASE,5,2,11,5.72,27.25
REST,5,3,3,6.05,23.9
FILE,2,1,12,12.09,22.46
REST,4,0,11,18.93,28.59
EMAIL,0,0,18,11.2,17.77
DATABASE,0,3,20,23.49,40.78
EMAIL,5,2,13,24.93,40.63
EMAIL,5,1,18,1.07,15.08
REST,5,0,16,12.84,26.41
COMPUTE,0,2,7,28.32,41.83
DATABASE,5,2,6,27.72,45.07
EMAIL,4,1,15,2.76,16.34
COMPUTE,0,1,18,4.79,18.91
DATABASE,3,3,3,12.14,26.88
FILE,0,0,3,25.22,26.54
DATABASE,4,2,20,29.21,48.39
COMPUTE,0,1,8,23.63,36.14
DATABASE,4,2,15,24.7,45.72
DATABASE,4,3,14,15.16,35.42
COMPUTE,3,3,6,13.58,35.76
EMAIL,4,3,8,19.16,32.07
REST,3,1,5,11.46,23.04
FILE,4,2,17,23.77,37.21
EMAIL,5,2,15,3.91,20.46
FILE,0,1,12,3.91,11.07
FILE,1,3,17,16.71,28.95
COMPUTE,2,1,18,18.07,35.49
DATABASE,4,0,15,8.92,25.9
FILE,2,1,6,12.76,20.57
EMAIL,2,3,9,9.22,21.84
FILE,3,2,8,26.61,35.78
DATABASE,3,0,15,12.85,28.09
EMAIL,5,1,8,4.25,16.54
FILE,2,0,7,1.59,6.26
COMPUTE,1,0,12,20.23,33.99
DATABASE,3,0,3,23.91,35.73
EMAIL,1,1,11,20.11,25.72
DATABASE,0,0,10,25.42,33.2
DATABASE,3,1,11,5.51,21.6
EMAIL,3,0,8,8.56,13.68
REST,4,3,8,20.93,37.01
FILE,2,1,9,9.91,18.74
COMPUTE,3,2,12,17.78,36.29
REST,0,0,5,8.76,10.47
REST,3,0,11,13.14,24.02
FILE,0,1,16,28.07,33.27
COMPUTE,5,2,7,2.76,23.42
REST,0,0,9,17.11,21.23
COMPUTE,4,0,12,7.61,27.0
COMPUTE,1,0,9,3.37,14.52
COMPUTE,2,2,5,27.75,44.91
FILE,1,3,16,29.44,40.94
REST,0,2,9,23.21,29.96
REST,3,2,6,5.64,17.68
REST,3,1,3,27.39,36.27
FILE,4,1,13,5.84,19.21
FILE,5,2,13,6.54,20.29
COMPUTE,0,3,10,16.63,32.58
COMPUTE,2,2,15,21.49,41.92
DATABASE,3,2,17,14.76,34.31
FILE,0,2,14,22.95,30.88
COMPUTE,3,0,14,8.27,23.21
FILE,5,2,19,14.51,31.01
REST,5,0,6,27.82,39.04
FILE,4,2,16,25.88,40.87
REST,4,3,20,9.05,28.22
EMAIL,3,2,6,27.28,35.99
COMPUTE,3,3,18,26.21,49.92
DATABASE,0,3,10,3.57,19.08
EMAIL,1,0,6,16.98,20.03
REST,2,0,11,14.44,23.47
FILE,4,0,13,24.55,35.51
COMPUTE,5,3,14,21.63,48.56
COMPUTE,5,2,17,7.75,31.92
DATABASE,0,3,14,22.81,37.38
REST,1,2,10,23.34,33.14
EMAIL,1,1,11,1.58,9.58
FILE,3,2,10,17.02,26.66
REST,1,3,19,7.77,23.74
EMAIL,1,3,11,23.15,33.12
FILE,2,2,15,22.01,31.76
FILE,2,1,9,23.95,30.48
COMPUTE,2,1,11,23.07,40.55
DATABASE,5,0,13,6.68,21.66
FILE,5,1,3,19.66,28.27
COMPUTE,4,1,11,25.12,42.44
DATABASE,2,2,20,3.67,20.3
REST,3,0,18,5.35,15.43
COMPUTE,2,3,4,7.69,27.16
EMAIL,4,0,12,24.63,34.13
FILE,0,1,11,5.48,11.25
COMPUTE,5,2,18,17.12,40.66
FILE,4,3,4,26.68,40.24
COMPUTE,2,2,18,3.74,24.81
REST,4,3,14,26.21,42.45
FILE,0,1,13,8.16,12.63
FILE,5,1,3,23.15,33.07
FILE,0,0,5,9.2,11.42
REST,0,0,15,17.86,24.62
EMAIL,0,3,12,28.62,38.7
COMPUTE,4,1,13,25.2,44.39
FILE,4,0,14,16.45,24.88
EMAIL,0,3,13,20.35,30.43
FILE,1,1,9,3.31,9.33
EMAIL,3,1,5,29.79,39.6
EMAIL,3,1,3,5.16,11.08
COMPUTE,0,3,6,9.91,26.37
FILE,3,0,17,1.54,10.34
REST,3,2,5,7.13,17.56
REST,4,1,3,12.25,21.63
FILE,3,3,16,4.27,18.8
EMAIL,1,2,5,7.64,14.15
COMPUTE,4,2,7,22.53,43.92
COMPUTE,0,1,16,9.84,26.02
FILE,2,3,16,27.34,43.06
COMPUTE,2,0,10,6.67,19.03
COMPUTE,4,2,9,28.1,50.0
EMAIL,4,1,15,22.81,37.1
DATABASE,4,2,16,6.66,26.25
COMPUTE,3,2,16,1.17,23.0
EMAIL,2,0,10,8.46,15.39
FILE,5,3,16,11.22,30.01
EMAIL,4,2,8,11.28,22.95
FILE,5,3,8,2.96,18.98
COMPUTE,1,0,15,4.34,17.15
COMPUTE,4,1,16,2.5,22.04
FILE,3,2,4,23.5,34.2
FILE,3,2,8,5.93,18.42
REST,2,3,5,5.42,17.59
DATABASE,2,2,10,4.17,20.99
COMPUTE,5,2,3,1.51,21.01
COMPUTE,2,0,13,5.29,19.33
COMPUTE,5,0,11,8.43,27.13
FILE,0,0,17,13.68,19.05
EMAIL,1,2,19,6.37,15.72
FILE,5,0,14,9.69,20.73
REST,0,3,6,29.53,37.98
COMPUTE,2,2,8,22.97,38.57
REST,0,1,19,13.8,24.83
FILE,4,0,14,14.19,23.73
EMAIL,5,0,8,28.2,37.51
EMAIL,4,1,8,23.25,32.52
DATABASE,5,2,17,19.78,42.59
EMAIL,0,3,8,5.03,12.83
FILE,5,2,18,27.84,42.86
EMAIL,0,0,14,16.19,18.96
EMAIL,1,1,16,21.78,29.53
REST,4,1,14,27.7,40.14
COMPUTE,1,1,4,4.53,16.46
EMAIL,4,1,9,24.51,35.91
DATABASE,2,3,7,11.65,26.8
EMAIL,0,3,18,6.38,17.57
FILE,0,2,19,16.09,24.2
REST,5,2,15,27.39,45.35
FILE,1,2,8,26.85,35.05
FILE,0,0,20,10.03,17.63
REST,5,2,12,11.23,30.33
REST,3,1,20,9.08,24.73
EMAIL,3,1,8,2.04,9.95
DATABASE,1,0,13,17.97,29.21
FILE,0,3,3,8.42,16.56
REST,5,3,7,17.04,36.31
REST,3,3,12,20.89,36.86
EMAIL,4,2,6,18.29,30.67
EMAIL,4,3,17,16.41,33.19
REST,1,0,12,5.44,10.85
DATABASE,5,2,15,24.07,45.24
DATABASE,4,2,4,7.84,22.79
REST,3,1,13,7.2,17.76
FILE,2,3,12,7.39,21.61
COMPUTE,4,2,16,14.05,35.61
COMPUTE,5,2,3,3.81,23.02
FILE,1,2,6,17.03,24.59
COMPUTE,1,1,6,12.26,24.18
DATABASE,1,2,9,27.84,41.34
FILE,5,0,19,20.68,35.29
DATABASE,0,1,7,13.83,24.77
EMAIL,2,2,4,22.09,29.87
COMPUTE,5,3,5,5.82,29.56
REST,2,3,5,7.4,20.69
EMAIL,2,0,12,7.42,14.3
COMPUTE,0,1,5,1.17,11.48
EMAIL,1,3,6,3.87,12.47
FILE,1,1,6,16.71,21.94
EMAIL,2,3,11,29.89,41.02
EMAIL,1,3,16,10.17,21.98
REST,3,1,9,14.25,26.52
DATABASE,4,0,15,13.74,31.17
DATABASE,1,2,6,8.48,19.71
COMPUTE,1,0,3,22.37,31.96
FILE,5,0,12,24.38,33.61
DATABASE,3,1,9,6.4,21.63
COMPUTE,1,2,16,20.32,39.83
DATABASE,0,2,17,1.4,16.68
DATABASE,1,0,20,5.7,19.19
DATABASE,1,3,8,9.16,25.75
REST,0,0,18,28.23,34.73
FILE,0,1,16,23.24,32.01
FILE,2,3,18,12.51,27.72
REST,1,0,11,3.88,9.45
REST,4,3,6,19.8,37.59
REST,3,2,19,18.43,36.39
REST,0,2,13,9.0,18.08
COMPUTE,5,0,6,3.1,21.29
DATABASE,1,1,13,9.3,23.07
REST,1,0,7,20.28,25.06
FILE,1,0,4,5.63,8.1
DATABASE,0,0,16,17.29,25.4
REST,1,1,17,1.34,11.58
EMAIL,0,1,10,25.24,31.08
DATABASE,1,3,3,24.95,37.23
COMPUTE,3,3,9,17.52,39.14
COMPUTE,2,3,14,20.71,42.77
FILE,1,2,5,3.69,10.84
REST,4,0,4,6.2,16.8
EMAIL,5,3,8,6.12,20.17
COMPUTE,1,1,13,3.08,17.96
EMAIL,2,0,14,15.41,23.53
EMAIL,2,3,14,14.82,27.78
FILE,5,0,18,28.16,41.86
EMAIL,3,3,7,4.17,16.39
REST,1,0,17,7.52,14.93
FILE,2,1,17,22.81,34.15
EMAIL,2,1,4,18.47,25.94
REST,5,3,5,11.77,30.61
DATABASE,4,1,20,7.52,27.83
COMPUTE,0,2,10,8.31,23.91
EMAIL,3,1,20,18.6,31.14
COMPUTE,4,0,6,18.43,34.43
EMAIL,2,1,9,21.74,29.81
EMAIL,5,3,14,14.38,33.84
COMPUTE,2,1,6,12.38,26.42
COMPUTE,1,0,6,3.5,12.96
EMAIL,5,1,17,25.31,38.05
DATABASE,4,3,17,9.59,33.28
REST,5,0,18,25.05,38.0
COMPUTE,4,2,12,13.48,36.64
EMAIL,4,3,7,4.75,18.67
EMAIL,1,1,15,4.52,12.78
COMPUTE,1,0,16,18.22,32.85
REST,0,1,7,3.3,9.35
EMAIL,1,3,6,3.93,13.88
REST,4,1,7,6.31,18.07
REST,4,3,6,10.89,27.99
REST,0,0,19,6.97,15.9
EMAIL,4,2,17,7.37,20.92
REST,2,1,5,25.13,31.87
EMAIL,2,2,10,5.83,16.44
EMAIL,5,1,8,23.11,35.28
EMAIL,5,3,9,5.27,22.22
FILE,0,3,5,3.19,8.8
REST,5,3,18,19.98,41.06
FILE,0,1,16,16.12,22.76
EMAIL,3,2,9,24.06,36.55
EMAIL,5,3,7,10.46,24.09
EMAIL,4,1,9,3.0,13.31
FILE,2,2,8,26.61,34.45
EMAIL,3,3,19,23.15,41.31
FILE,1,0,11,15.28,19.06
REST,0,3,5,13.48,22.37
FILE,3,0,12,28.45,35.2
EMAIL,0,1,4,23.43,24.69
REST,1,3,13,6.48,19.32
DATABASE,2,1,18,1.24,15.86
EMAIL,3,1,18,13.08,23.59
REST,2,3,7,19.67,33.45
EMAIL,4,0,3,20.46,25.87
EMAIL,3,1,5,21.22,30.26
COMPUTE,1,1,11,23.32,39.56
REST,2,3,9,4.44,19.77
FILE,3,0,18,3.84,12.29
COMPUTE,0,3,8,8.44,25.92
REST,3,3,14,22.18,37.89
REST,3,2,13,1.16,14.6
EMAIL,4,2,19,24.22,38.53
COMPUTE,5,1,12,6.42,26.51
COMPUTE,0,1,5,1.28,11.47
REST,3,0,3,21.73,28.01
DATABASE,4,3,6,19.09,38.12
COMPUTE,3,2,6,6.66,26.43
FILE,4,0,8,26.71,35.51
DATABASE,0,3,11,26.17,41.7
DATABASE,0,2,16,21.88,34.82
DATABASE,2,3,9,18.31,36.92
DATABASE,4,1,7,8.63,23.18
DATABASE,2,2,11,12.69,29.66
REST,3,3,20,7.59,28.08
REST,4,3,8,28.18,46.57
COMPUTE,0,3,9,11.15,27.24
DATABASE,2,3,3,16.94,30.68
DATABASE,5,0,18,2.83,19.57
EMAIL,1,3,5,26.25,36.54
FILE,3,3,5,23.76,35.49
DATABASE,5,1,15,24.8,42.75
EMAIL,3,1,6,17.82,24.59
COMPUTE,5,3,8,2.57,25.07
REST,2,2,14,21.46,34.67
DATABASE,0,0,8,18.86,26.1
COMPUTE,1,1,7,6.36,21.87
EMAIL,4,0,16,25.45,35.35
EMAIL,3,0,11,13.67,23.36
EMAIL,5,1,6,5.5,15.06
DATABASE,3,1,6,18.51,30.64
FILE,3,1,20,11.06,22.01
FILE,1,3,10,5.75,17.9
FILE,1,1,15,4.66,13.29
REST,2,2,7,7.43,17.25
EMAIL,0,2,13,8.89,17.74
REST,5,3,12,11.24,28.99
FILE,5,3,20,17.05,37.39
REST,5,2,16,10.64,29.41
DATABASE,2,1,3,22.14,33.2
DATABASE,0,1,17,25.25,37.37
DATABASE,4,2,4,12.6,27.43
DATABASE,4,2,8,14.94,31.99
EMAIL,4,2,8,17.45,28.64
EMAIL,3,1,19,10.28,22.49
COMPUTE,4,3,14,13.17,35.5
EMAIL,0,3,10,27.36,38.3
FILE,4,3,10,8.05,24.22
DATABASE,1,0,18,2.48,15.45
DATABASE,1,2,5,20.95,34.93
EMAIL,0,3,20,7.87,18.39
FILE,1,0,4,24.45,25.85
DATABASE,5,2,5,2.97,21.96
EMAIL,4,2,15,18.51,34.78
DATABASE,1,1,6,23.93,34.22
REST,2,0,10,2.01,9.9
REST,3,0,7,9.19,17.02
COMPUTE,2,1,9,19.51,36.13
COMPUTE,2,0,11,14.12,28.92
COMPUTE,4,0,6,10.59,25.91
COMPUTE,4,0,10,16.19,31.64
REST,3,1,6,5.49,16.65
EMAIL,1,3,11,6.89,17.56
COMPUTE,3,2,7,6.42,23.09
EMAIL,2,0,8,12.59,16.2
DATABASE,5,2,20,4.06,26.5
COMPUTE,0,0,9,29.77,39.93
COMPUTE,0,3,5,26.81,41.86
DATABASE,5,3,6,16.84,37.28
COMPUTE,5,1,18,22.65,45.1
FILE,4,3,4,11.84,24.25
FILE,1,1,12,29.6,36.06
DATABASE,0,1,3,14.25,22.45
REST,2,2,18,8.42,23.88
EMAIL,1,3,17,12.5,24.0
REST,1,1,8,29.35,35.93
DATABASE,3,1,12,18.18,31.95
DATABASE,0,1,12,19.93,32.38
DATABASE,1,1,11,19.93,30.0
EMAIL,1,2,12,16.68,23.81
EMAIL,3,2,6,22.97,33.7
FILE,5,1,19,3.4,17.84
FILE,1,2,6,26.51,35.02
DATABASE,0,2,15,7.72,20.45
COMPUTE,0,1,5,13.41,26.66
FILE,5,1,16,22.09,35.07
FILE,4,2,11,5.32,19.22
EMAIL,4,3,19,29.5,46.12
DATABASE,5,2,13,18.19,40.04
EMAIL,0,1,12,11.28,18.47
FILE,0,1,15,28.06,34.99
DATABASE,0,3,13,11.8,27.66
DATABASE,3,1,13,3.28,17.69
REST,1,0,12,26.02,32.84
REST,0,1,6,18.5,23.64
FILE,2,1,11,29.82,36.63
EMAIL,3,2,17,26.43,40.47
REST,5,3,15,17.3,38.64
DATABASE,0,2,9,2.25,13.01
FILE,2,1,7,7.93,15.0
DATABASE,1,0,3,13.98,20.65
FILE,2,3,10,19.35,31.65
COMPUTE,0,0,15,6.46,19.21
EMAIL,5,2,10,27.47,42.19
REST,4,1,9,15.8,28.94
DATABASE,3,0,4,2.1,13.76
FILE,0,1,13,19.77,25.89
COMPUTE,1,3,13,10.5,29.45
DATABASE,3,3,15,14.96,34.28
DATABASE,4,3,18,15.24,37.64
EMAIL,4,2,16,19.05,33.31
EMAIL,0,1,20,29.82,38.59
DATABASE,1,2,3,16.81,27.83
REST,4,2,14,16.59,34.19
COMPUTE,4,1,8,29.92,47.98
EMAIL,4,0,8,12.82,19.29
REST,2,3,10,2.13,15.02
DATABASE,0,1,9,25.58,33.91
COMPUTE,0,0,12,25.5,36.97
DATABASE,5,3,6,17.47,36.93
EMAIL,2,0,9,21.46,28.05
COMPUTE,4,3,4,7.61,29.99
FILE,1,1,4,15.91,20.17
DATABASE,0,3,14,8.99,24.32
EMAIL,2,3,11,5.31,18.78
DATABASE,1,1,10,27.96,39.45
DATABASE,2,1,5,18.99,30.39
FILE,3,0,11,15.04,24.43
EMAIL,1,0,4,28.47,31.63
COMPUTE,0,1,5,8.8,21.72
REST,4,1,16,15.45,28.81
EMAIL,4,2,11,27.44,40.4
FILE,1,1,10,21.43,29.42
REST,5,2,11,10.48,25.92
COMPUTE,4,1,10,2.4,22.31
DATABASE,3,1,19,7.06,23.57
REST,2,2,17,16.92,29.76
REST,2,0,20,27.25,36.68
EMAIL,1,3,11,19.84,29.66
COMPUTE,4,3,8,13.34,36.22
DATABASE,0,1,10,21.72,33.39
EMAIL,2,1,17,16.91,27.21
FILE,5,2,6,23.38,35.68
EMAIL,3,3,15,1.82,15.5
REST,3,3,6,18.54,32.87
DATABASE,0,2,13,20.63,34.0
FILE,2,2,6,2.44,10.56
COMPUTE,1,2,17,13.08,31.69
EMAIL,4,0,8,1.62,10.4
COMPUTE,5,3,4,2.26,26.55
COMPUTE,1,0,4,19.18,28.65
COMPUTE,5,3,8,27.43,50.6
REST,1,3,8,16.01,26.6
DATABASE,2,0,9,19.99,32.3
COMPUTE,1,2,16,27.29,46.84
REST,1,0,16,1.05,8.68
DATABASE,5,0,3,19.16,31.77
FILE,3,3,17,9.22,26.52
FILE,0,0,18,1.4,7.06
REST,5,0,10,4.58,17.91
COMPUTE,0,1,6,24.38,37.28
COMPUTE,4,0,9,2.14,19.28
REST,5,1,4,15.21,25.93
DATABASE,2,2,10,13.91,29.18
COMPUTE,3,2,7,16.63,33.31
REST,2,1,20,10.18,21.84
DATABASE,5,1,11,23.84,41.99
DATABASE,5,1,19,11.3,30.97
DATABASE,3,3,17,9.03,28.07
FILE,2,1,9,27.45,34.44
EMAIL,3,0,20,12.21,23.85
DATABASE,4,0,11,22.74,36.06
COMPUTE,5,0,20,7.17,30.11
EMAIL,4,3,3,19.4,31.67
DATABASE,5,2,8,23.7,43.7
REST,4,3,5,27.82,44.28
COMPUTE,0,3,19,28.58,46.42
FILE,3,3,15,20.55,36.73
DATABASE,2,0,4,11.35,21.45
COMPUTE,4,1,16,13.08,32.88
COMPUTE,0,0,13,11.48,22.79
EMAIL,0,0,9,20.67,21.62
COMPUTE,0,2,4,14.43,26.85
EMAIL,1,1,15,10.54,20.44
DATABASE,0,2,17,6.73,20.18
DATABASE,2,1,5,1.54,14.7
EMAIL,1,3,19,23.64,36.52
DATABASE,3,2,20,28.3,47.22
COMPUTE,1,0,13,8.77,20.97
COMPUTE,2,0,14,29.82,45.42
DATABASE,1,0,15,15.42,26.53
REST,5,3,20,2.37,24.48
REST,1,2,10,10.4,20.9
COMPUTE,3,2,9,13.72,31.68
EMAIL,4,2,4,1.45,11.52
FILE,5,1,19,1.2,14.8
COMPUTE,0,1,3,12.45,23.25
REST,5,1,19,5.13,20.75
DATABASE,3,3,17,14.19,33.71
COMPUTE,5,0,18,23.79,43.94
DATABASE,3,2,8,25.46,40.66
DATABASE,0,1,6,12.04,20.44
REST,4,1,3,25.87,37.67
DATABASE,5,2,10,3.22,22.73
REST,1,3,17,22.34,37.65
FILE,2,3,6,18.01,27.13
FILE,2,1,15,18.92,28.93
EMAIL,3,0,16,21.77,30.17
EMAIL,0,0,15,20.96,25.9
REST,3,1,18,10.12,22.73
EMAIL,1,0,4,18.02,20.4
FILE,2,2,15,11.99,21.77
DATABASE,3,3,10,22.62,39.62
COMPUTE,3,3,20,23.46,46.57
FILE,2,3,6,27.49,40.15
EMAIL,1,3,11,28.71,37.7
FILE,4,1,15,24.52,36.31
REST,4,3,11,8.65,24.78
FILE,5,1,9,4.69,18.21
REST,0,1,15,29.96,40.14
COMPUTE,0,0,16,14.27,25.85
FILE,3,0,15,21.69,30.95
DATABASE,4,0,8,16.95,29.37
FILE,3,2,11,19.25,30.34
COMPUTE,0,2,6,19.2,33.83
EMAIL,4,1,16,4.1,15.96
EMAIL,4,3,6,9.86,23.96
EMAIL,5,1,11,14.22,25.61
COMPUTE,1,1,12,15.52,30.43
FILE,2,2,6,15.62,22.9
EMAIL,4,2,10,9.99,23.37
EMAIL,0,3,4,21.66,30.51
DATABASE,5,3,5,10.66,31.3
REST,0,3,20,15.57,31.43
DATABASE,0,1,8,22.82,31.55
REST,1,1,9,19.17,26.09
COMPUTE,5,1,9,1.1,22.09
REST,5,0,10,25.2,37.72
COMPUTE,2,3,12,20.51,39.34
FILE,4,2,14,17.44,32.48
REST,5,3,8,2.95,20.6
EMAIL,2,0,12,2.1,9.89
REST,2,0,13,2.27,9.81
COMPUTE,5,2,4,11.82,32.25
COMPUTE,3,1,4,4.26,19.46
EMAIL,0,1,16,4.6,13.28
FILE,2,2,7,23.86,34.78
DATABASE,3,3,12,13.79,32.31
FILE,0,0,10,28.67,30.45
COMPUTE,0,3,6,27.79,41.72
REST,5,2,3,26.48,41.91
REST,2,1,9,3.42,11.13
FILE,2,2,18,13.16,23.68
REST,0,0,13,5.7,12.87
EMAIL,0,0,9,4.98,7.78
COMPUTE,0,0,15,6.93,19.89
EMAIL,3,3,12,22.98,38.54
EMAIL,4,2,12,7.42,21.23
COMPUTE,3,3,14,13.6,34.99
DATABASE,2,0,9,8.68,20.72
REST,5,3,13,2.74,23.86
COMPUTE,0,2,14,7.47,24.71
COMPUTE,5,0,11,9.63,30.25
COMPUTE,0,1,10,26.44,39.93
REST,3,2,4,10.38,22.79
REST,1,1,16,20.7,30.11
REST,5,0,11,18.35,29.73
EMAIL,2,1,15,29.15,38.13
FILE,2,3,19,15.59,29.33
REST,1,2,15,28.85,40.36
COMPUTE,5,2,13,21.43,44.94
DATABASE,3,0,9,28.01,40.74
COMPUTE,3,1,15,7.03,26.83
REST,2,2,5,7.94,17.01
EMAIL,0,0,13,4.93,7.32
FILE,4,2,14,24.3,38.96
COMPUTE,4,3,10,1.92,24.36
REST,0,3,13,7.66,19.42
COMPUTE,3,2,8,19.82,37.6
EMAIL,0,3,3,8.92,17.58
COMPUTE,5,0,6,15.42,32.05
COMPUTE,5,2,19,26.7,52.74
EMAIL,1,1,20,19.98,28.3
COMPUTE,2,0,17,19.43,33.81
DATABASE,1,0,19,15.51,26.85
DATABASE,1,0,7,4.37,13.18
EMAIL,0,0,4,26.05,25.8
EMAIL,3,3,4,5.52,15.42
REST,3,1,6,27.7,36.76
REST,4,1,18,3.02,17.91
FILE,0,1,7,12.12,15.22
DATABASE,1,1,8,29.18,40.24
EMAIL,5,0,11,24.11,32.98
COMPUTE,1,1,20,3.57,22.2
REST,3,3,4,23.83,37.36
REST,3,1,8,7.52,18.28
DATABASE,1,3,17,15.26,34.79
EMAIL,1,1,17,24.2,32.86
EMAIL,0,1,6,6.98,10.44
FILE,2,3,4,29.87,39.96
FILE,0,0,12,10.2,13.68
REST,1,1,3,6.71,14.74
COMPUTE,2,2,19,3.52,24.03
DATABASE,3,3,12,5.26,25.75
COMPUTE,2,0,13,9.09,25.75
REST,4,3,13,27.03,45.6
DATABASE,3,0,15,21.59,34.09
EMAIL,1,1,19,26.04,36.25
REST,2,0,8,6.98,12.71
COMPUTE,2,0,7,11.93,25.56
COMPUTE,0,1,9,17.71,29.91
REST,4,0,5,12.16,22.6
REST,0,2,16,26.2,36.93
EMAIL,5,0,18,29.05,42.64
DATABASE,4,3,9,27.67,49.2
FILE,1,1,3,17.05,21.69
FILE,0,3,3,15.99,24.07
REST,0,0,10,4.19,7.72
FILE,5,1,18,3.54,20.36
FILE,2,2,8,15.04,23.61
FILE,4,3,10,17.08,32.76
FILE,1,1,12,9.47,17.89
DATABASE,4,2,3,22.08,39.49
COMPUTE,5,1,20,18.67,40.41
REST,3,3,20,17.69,35.88
FILE,5,0,4,22.18,31.29
FILE,4,1,6,19.65,30.05
FILE,0,3,19,23.65,35.01
EMAIL,0,2,4,15.04,18.41
REST,4,1,11,21.05,35.03
COMPUTE,1,2,11,7.44,22.83
DATABASE,0,0,5,12.74,19.78
COMPUTE,3,2,11,5.35,24.57
DATABASE,3,0,11,20.72,34.1
REST,0,2,10,25.61,35.78
EMAIL,4,3,11,18.92,33.47
COMPUTE,2,1,18,27.19,45.49
COMPUTE,2,1,5,24.6,40.55
EMAIL,3,0,4,21.09,25.54
COMPUTE,3,0,10,4.61,18.48
DATABASE,1,3,3,22.85,34.88
COMPUTE,3,0,18,28.26,47.1
DATABASE,3,2,13,16.12,32.12
DATABASE,1,1,20,14.47,27.0
REST,4,0,3,22.45,32.73
EMAIL,0,3,17,11.77,21.31
DATABASE,5,0,12,25.95,43.26
COMPUTE,2,3,13,23.03,45.38
DATABASE,3,3,5,8.76,26.65
FILE,0,0,16,3.01,6.37
COMPUTE,5,3,16,17.95,44.22
REST,0,2,5,23.64,31.5
COMPUTE,2,2,13,11.4,31.76
REST,5,3,6,20.68,36.01
REST,4,0,18,9.78,23.38
COMPUTE,3,0,13,25.37,39.99
FILE,1,1,8,4.86,11.2
